list_size,bozo_time
1,0.0016689301
1,0.0014305115
1,0.0011920929
1,0.0007152557
1,0.0009536743
1,0.0007152557
1,0.0004768372
1,0.0007152557
1,0.0009536743
1,0.0007152557
2,0.0078678131
2,0.0009536743
2,0.0007152557
2,0.0011920929
2,0.0007152557
2,0.0007152557
2,0.0007152557
2,0.0007152557
2,0.0007152557
2,0.0009536743
3,0.0422000885
3,0.0264644623
3,0.0174045563
3,0.0059604645
3,0.0398159027
3,0.0059604645
3,0.0369548798
3,0.0236034393
3,0.0300407410
3,0.0536441803
4,0.0426769257
4,0.0808238983
4,0.0154972076
4,0.0426769257
4,0.0154972076
4,0.0941753387
4,0.0550746918
4,0.1180171967
4,0.2272129059
4,0.0474452972
5,0.0147819519
5,1.0325908661
5,0.0362396240
5,0.1318454742
5,0.0631809235
5,0.0474452972
5,0.1933574677
5,0.7307529449
5,0.2133846283
5,0.4062652588
6,0.1828670502
6,1.8410682678
6,0.5722045898
6,2.0556449890
6,0.1802444458
6,0.6995201111
6,0.2756118774
6,0.4417896271
6,0.7083415985
6,0.4167556763
7,42.2234535217
7,12.4571323395
7,0.6697177887
7,9.4423294067
7,5.3493976593
7,0.8342266083
7,3.9000511169
7,12.1371746063
7,17.5845623016
7,2.3388862610
8,59.2982769012
8,2.4187564850
8,25.7558822632
8,70.8205699921
8,3.7889480591
8,9.7882747650
8,4.3201446533
8,26.2198448181
8,79.9398422241
8,28.0821323395
9,1729.1822433472
9,435.9662532806
9,738.8346195221
9,49.9193668365
9,80.4030895233
9,405.8885574341
9,148.1409072876
9,147.2256183624
9,1149.4898796082
9,1795.3355312347
10,1402.5528430939
10,3410.6640815735
10,4068.3495998383
10,13791.9013500214
10,1561.0325336456
10,261.9621753693
10,3603.9438247681
10,4515.7413482666
10,20143.3012485504
10,881.0722827911
11,69180.5906295776
11,7438.0080699921
11,19868.0400848389
11,16652.9719829559
11,101629.6424865723
11,36623.0137348175
11,15958.3313465118
11,42841.8078422546
11,29672.4786758423
11,77315.3448104858
12,1157729.5484542847
12,218595.6304073334
12,131634.6409320831
12,115126.1963844299
12,129566.1060810089
12,140515.9735679626
12,80950.6661891937
12,332555.4544925690
12,138316.8199062347
12,32511.9371414185
13,5120498.5773563385
13,1422106.7574024200
13,4696995.5844879150
13,12786897.0553874969
13,20111953.2520771027
13,8362315.5453205109
13,11387447.1712112427
