inputSize,delta
1,0.0190734863
1,0.0026226044
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0026226044
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0019073486
1,0.0019073486
1,0.0019073486
1,0.0019073486
1,0.0019073486
1,0.0023841858
1,0.0019073486
1,0.0021457672
2,0.0095367432
2,0.0109672546
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0026226044
2,0.0028610229
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0019073486
2,0.0019073486
3,0.0078678131
3,0.0019073486
3,0.0021457672
3,0.0019073486
3,0.0021457672
3,0.0021457672
3,0.0021457672
3,0.0021457672
3,0.0019073486
3,0.0021457672
3,0.0019073486
3,0.0019073486
3,0.0021457672
3,0.0019073486
3,0.0019073486
3,0.0019073486
3,0.0021457672
3,0.0021457672
3,0.0021457672
3,0.0019073486
4,0.0085830688
4,0.0023841858
4,0.0023841858
4,0.0026226044
4,0.0023841858
4,0.0023841858
4,0.0021457672
4,0.0026226044
4,0.0023841858
4,0.0021457672
4,0.0026226044
4,0.0023841858
4,0.0023841858
4,0.0023841858
4,0.0023841858
4,0.0023841858
4,0.0021457672
4,0.0023841858
4,0.0021457672
4,0.0021457672
5,0.0147819519
5,0.0050067902
5,0.0050067902
5,0.0050067902
5,0.0047683716
5,0.0050067902
5,0.0047683716
5,0.0050067902
5,0.0052452087
5,0.0061988831
5,0.0052452087
5,0.0057220459
5,0.0054836273
5,0.0054836273
5,0.0054836273
5,0.0054836273
5,0.0054836273
5,0.0052452087
5,0.0054836273
5,0.0054836273
6,0.0903606415
6,0.0915527344
6,0.0765323639
6,0.0765323639
6,0.0765323639
6,0.0765323639
6,0.0767707825
6,0.0762939453
6,0.0765323639
6,0.0765323639
6,0.0824928284
6,0.0877380371
6,0.0874996185
6,0.0710487366
6,0.0700950623
6,0.0705718994
6,0.0708103180
6,0.0700950623
6,0.0700950623
6,0.0703334808
7,0.3373622894
7,0.3316402435
7,0.3316402435
7,0.3316402435
7,0.3492832184
7,0.3321170807
7,0.3318786621
7,0.3309249878
7,0.3314018250
7,0.3318786621
7,0.3314018250
7,0.3316402435
7,0.3309249878
7,0.3306865692
7,0.3380775452
7,0.3318786621
7,0.3318786621
7,0.3318786621
7,0.3321170807
7,0.3311634064
8,1.1765956879
8,1.2288093567
8,1.3122558594
8,1.1684894562
8,1.2240409851
8,1.1694431305
8,1.1684894562
8,1.1737346649
8,1.1801719666
8,1.1687278748
8,1.1680126190
8,1.1935234070
8,1.1692047119
8,1.1682510376
8,1.1866092682
8,1.1687278748
8,1.1687278748
8,1.1866092682
8,1.1684894562
8,1.1687278748
9,1.5783309937
9,1.5580654144
9,1.5540122986
9,1.5738010406
9,1.5549659729
9,1.5697479248
9,1.5556812286
9,1.5554428101
9,1.5728473663
9,1.5554428101
9,1.5697479248
9,1.5547275543
9,1.5549659729
9,1.5711784363
9,1.5559196472
9,1.5699863434
9,1.5554428101
9,1.5554428101
9,1.5721321106
9,1.5542507172
10,9.8536014557
10,9.8450183868
10,10.0247859955
10,9.8502635956
10,10.0202560425
10,9.8423957825
10,10.5061531067
10,10.4818344116
10,10.2422237396
10,10.2403163910
10,10.2686882019
10,10.4143619537
10,10.2326869965
10,10.5385780334
10,10.3404521942
10,10.2355480194
10,10.2331638336
10,10.2343559265
10,10.4174613953
10,10.2374553680
11,1437.0429515839
11,1123.9087581635
11,3058.0263137817
11,458.4355354309
11,539.7331714630
11,540.4920578003
11,2026.2393951416
11,498.9616870880
11,498.3875751495
11,826.7745971680
11,989.0511035919
11,1099.1728305817
11,230.8626174927
11,232.6695919037
11,231.7295074463
11,232.2258949280
11,230.4251194000
11,238.2020950317
11,230.9494018555
11,231.1058044434
12,181.5609931946
12,181.4982891083
12,191.0023689270
12,184.6196651459
12,182.0993423462
12,11852.5831699371
12,28571.2997913361
12,7082.3380947113
12,11.7599964142
12,11.9936466217
12,11.7580890656
12,11.7621421814
12,11.7707252502
12,11.7638111115
12,11.9976997375
12,11.9688510895
12,11.7619037628
12,11.9960308075
12,11.7774009705
12,11.7657184601
