list_size,slow_time
1,0.0011920929
1,0.0009536743
1,0.0009536743
1,0.0009536743
1,0.0011920929
1,0.0009536743
1,0.0009536743
1,0.0009536743
1,0.0000000000
1,0.0009536743
2,0.0021457672
2,0.0019073486
2,0.0019073486
2,0.0016689301
2,0.0019073486
2,0.0019073486
2,0.0028610229
2,0.0019073486
2,0.0019073486
2,0.0019073486
3,0.0042915344
3,0.0028610229
3,0.0040531158
3,0.0028610229
3,0.0040531158
3,0.0028610229
3,0.0030994415
3,0.0030994415
3,0.0028610229
3,0.0038146973
4,0.0050067902
4,0.0052452087
4,0.0047683716
4,0.0040531158
4,0.0047683716
4,0.0038146973
4,0.0052452087
4,0.0047683716
4,0.0050067902
4,0.0052452087
5,0.0090599060
5,0.0081062317
5,0.0088214874
5,0.0081062317
5,0.0078678131
5,0.0088214874
5,0.0078678131
5,0.0078678131
5,0.0088214874
5,0.0119209290
6,0.0128746033
6,0.0131130219
6,0.0140666962
6,0.0119209290
6,0.0121593475
6,0.0147819519
6,0.0128746033
6,0.0121593475
6,0.0121593475
6,0.0131130219
7,0.0178813934
7,0.0169277191
7,0.0181198120
7,0.0178813934
7,0.0178813934
7,0.0171661377
7,0.0169277191
7,0.0197887421
7,0.0169277191
7,0.0178813934
8,0.0278949738
8,0.0247955322
8,0.0247955322
8,0.0247955322
8,0.0240802765
8,0.0240802765
8,0.0481605530
8,0.0240802765
8,0.0252723694
8,0.0302791595
9,0.0381469727
9,0.0371932983
9,0.0357627869
9,0.0369548798
9,0.0360012054
9,0.0362396240
9,0.0667572021
9,0.0369548798
9,0.0457763672
9,0.0348091125
10,0.0491142273
10,0.0419616699
10,0.0419616699
10,0.0410079956
10,0.0431537628
10,0.0419616699
10,0.0410079956
10,0.0410079956
10,0.0538825989
10,0.0422000885
11,0.0562667847
11,0.0557899475
11,0.0550746918
11,0.0550746918
11,0.0550746918
11,0.0550746918
11,0.0550746918
11,0.0829696655
11,0.0550746918
11,0.0550746918
12,0.1070499420
12,0.0751018524
12,0.0860691071
12,0.0748634338
12,0.0751018524
12,0.0748634338
12,0.0751018524
12,0.0748634338
12,0.0751018524
12,0.0748634338
15,0.1590251923
15,0.1611709595
15,0.1602172852
15,0.2090930939
15,0.1571178436
15,0.2191066742
15,0.1568794250
15,0.1578330994
15,0.1568794250
15,0.1561641693
30,2.3889541626
30,2.3431777954
30,2.5861263275
30,2.2830963135
30,2.3689270020
30,2.1538734436
30,2.1650791168
30,2.1629333496
30,2.2599697113
30,2.4790763855
50,22.1757888794
50,22.0308303833
50,22.1319198608
50,21.8560695648
50,21.6538906097
50,21.6851234436
50,21.5752124786
50,22.2179889679
50,21.8367576599
50,21.6391086578
100,802.7331829071
100,799.0109920502
100,801.3398647308
100,805.0413131714
100,865.2718067169
100,818.2461261749
100,811.7837905884
100,774.0349769592
100,778.0408859253
100,782.9833030701
125,2844.2969322205
125,2861.8297576904
