inputSize,delta
1,0.0185966492
1,0.0030994415
1,0.0026226044
1,0.0026226044
1,0.0023841858
1,0.0021457672
1,0.0026226044
1,0.0023841858
1,0.0023841858
1,0.0026226044
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0026226044
1,0.0026226044
1,0.0028610229
1,0.0023841858
1,0.0023841858
1,0.0028610229
1,0.0026226044
1,0.0026226044
1,0.0023841858
1,0.0028610229
1,0.0026226044
1,0.0026226044
1,0.0028610229
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0019073486
1,0.0023841858
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0019073486
1,0.0023841858
1,0.0021457672
1,0.0019073486
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0019073486
1,0.0023841858
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0016689301
1,0.0019073486
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0026226044
1,0.0023841858
1,0.0026226044
1,0.0021457672
1,0.0023841858
1,0.0026226044
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0033378601
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0026226044
1,0.0026226044
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0026226044
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0026226044
1,0.0023841858
1,0.0019073486
1,0.0023841858
1,0.0028610229
1,0.0021457672
1,0.0026226044
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0019073486
1,0.0023841858
1,0.0023841858
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0023841858
1,0.0026226044
1,0.0026226044
1,0.0023841858
1,0.0028610229
1,0.0026226044
1,0.0023841858
1,0.0028610229
1,0.0026226044
1,0.0023841858
1,0.0026226044
1,0.0023841858
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0021457672
1,0.0023841858
1,0.0021457672
1,0.0021457672
1,0.0019073486
1,0.0019073486
1,0.0021457672
1,0.0021457672
1,0.0021457672
2,0.0028610229
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0026226044
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0019073486
2,0.0228881836
2,0.0026226044
2,0.0023841858
2,0.0021457672
2,0.0026226044
2,0.0026226044
2,0.0026226044
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0026226044
2,0.0023841858
2,0.0026226044
2,0.0026226044
2,0.0023841858
2,0.0023841858
2,0.0026226044
2,0.0026226044
2,0.0026226044
2,0.0026226044
2,0.0023841858
2,0.0021457672
2,0.0026226044
2,0.0021457672
2,0.0026226044
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0026226044
2,0.0026226044
2,0.0019073486
2,0.0021457672
2,0.0023841858
2,0.0026226044
2,0.0021457672
2,0.0023841858
2,0.0026226044
2,0.0021457672
2,0.0026226044
2,0.0023841858
2,0.0028610229
2,0.0026226044
2,0.0023841858
2,0.0026226044
2,0.0033378601
2,0.0030994415
2,0.0026226044
2,0.0026226044
2,0.0028610229
2,0.0023841858
2,0.0030994415
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0023841858
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0026226044
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0026226044
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0021457672
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0026226044
2,0.0019073486
2,0.0019073486
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0021457672
2,0.0019073486
2,0.0026226044
2,0.0021457672
2,0.0026226044
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0019073486
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0021457672
2,0.0026226044
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0026226044
2,0.0019073486
2,0.0023841858
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0026226044
2,0.0023841858
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0026226044
2,0.0023841858
2,0.0019073486
2,0.0021457672
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0026226044
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0019073486
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0019073486
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0023841858
2,0.0023841858
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0021457672
2,0.0023841858
2,0.0016689301
2,0.0021457672
2,0.0021457672
3,0.0030994415
3,0.0026226044
3,0.0026226044
3,0.0023841858
3,0.0021457672
3,0.0033378601
3,0.0030994415
3,0.0021457672
3,0.0030994415
3,0.0030994415
3,0.0019073486
3,0.0026226044
3,0.0021457672
3,0.0021457672
3,0.0028610229
3,0.0023841858
3,0.0026226044
3,0.0030994415
3,0.0023841858
3,0.0023841858
3,0.0023841858
3,0.0023841858
3,0.0026226044
3,0.0021457672
3,0.0023841858
3,0.0028610229
3,0.0021457672
3,0.0026226044
3,0.0026226044
3,0.0021457672
3,0.0021457672
3,0.0021457672
3,0.0023841858
3,0.0028610229
3,0.0026226044
3,0.0033378601
3,0.0023841858
3,0.0023841858
3,0.0023841858
3,0.0030994415
3,0.0021457672
3,0.0028610229
3,0.0023841858
3,0.0028610229
3,0.0021457672
3,0.0026226044
3,0.0021457672
3,0.0023841858
3,0.0023841858
3,0.0028610229
3,0.0021457672
3,0.0028610229
3,0.0023841858
3,0.0033378601
3,0.0023841858
3,0.0019073486
3,0.0023841858
3,0.0026226044
3,0.0021457672
3,0.0021457672
3,0.0030994415
3,0.0026226044
3,0.0021457672
3,0.0023841858
3,0.0026226044
3,0.0033378601
3,0.0023841858
3,0.0033378601
3,0.0023841858
3,0.0021457672
3,0.0026226044
3,0.0028610229
3,0.0030994415
3,0.0023841858
3,0.0030994415
3,0.0021457672
3,0.0030994415
3,0.0023841858
3,0.0030994415
3,0.0028610229
3,0.0030994415
3,0.0030994415
3,0.0026226044
3,0.0021457672
3,0.0026226044
3,0.0021457672
3,0.0023841858
3,0.0026226044
3,0.0030994415
3,0.0026226044
3,0.0023841858
3,0.0023841858
3,0.0030994415
3,0.0021457672
3,0.0021457672
3,0.0026226044
3,0.0028610229
3,0.0028610229
3,0.0026226044
3,0.0030994415
3,0.0023841858
3,0.0028610229
3,0.0028610229
3,0.0033378601
3,0.0021457672
3,0.0026226044
3,0.0026226044
3,0.0023841858
3,0.0021457672
3,0.0021457672
3,0.0026226044
3,0.0026226044
3,0.0030994415
3,0.0030994415
3,0.0026226044
3,0.0021457672
3,0.0021457672
3,0.0021457672
3,0.0019073486
3,0.0021457672
3,0.0023841858
3,0.0028610229
3,0.0021457672
3,0.0028610229
3,0.0023841858
3,0.0028610229
3,0.0021457672
3,0.0023841858
3,0.0026226044
3,0.0026226044
3,0.0026226044
3,0.0026226044
3,0.0023841858
3,0.0026226044
3,0.0023841858
3,0.0028610229
3,0.0030994415
3,0.0021457672
3,0.0021457672
3,0.0028610229
3,0.0030994415
3,0.0023841858
3,0.0021457672
3,0.0021457672
3,0.0026226044
3,0.0033378601
3,0.0028610229
3,0.0033378601
3,0.0028610229
3,0.0033378601
3,0.0030994415
3,0.0028610229
3,0.0026226044
3,0.0023841858
3,0.0021457672
3,0.0023841858
3,0.0023841858
3,0.0023841858
3,0.0033378601
3,0.0028610229
3,0.0028610229
3,0.0030994415
3,0.0030994415
3,0.0028610229
3,0.0023841858
3,0.0030994415
3,0.0028610229
3,0.0023841858
3,0.0028610229
3,0.0026226044
3,0.0023841858
3,0.0026226044
3,0.0021457672
3,0.0023841858
3,0.0033378601
3,0.0035762787
3,0.0028610229
3,0.0028610229
3,0.0023841858
3,0.0028610229
3,0.0028610229
3,0.0033378601
3,0.0026226044
3,0.0028610229
3,0.0038146973
3,0.0033378601
3,0.0038146973
3,0.0028610229
3,0.0028610229
3,0.0028610229
3,0.0026226044
3,0.0033378601
3,0.0026226044
3,0.0030994415
